ConfusionMatrix,Balanced_accuracy,Precision_macro,Precision_micro,Precision_weighted,Recall_macro,Recall_micro,Recall_weighted,F1_weighted,F1_macro,Precision_0,Recall_0,Precision_1,Recall_1,Roc_auc,PR_auc,Tipo,Seed,ModelName,Roc_auc_byFold
[221  27  37  29],0.665261485826002,0.6872231450719823,0.7961783439490446,0.78539070049587,0.665261485826002,0.7961783439490446,0.7961783439490446,0.7898390453742724,0.6744638113134193,0.8565891472868217,0.8911290322580645,0.5178571428571429,0.4393939393939394,0.8088037634408602,0.4545712783806299,testPredProba_S,83,KNeighborsUnif,0.7994925213675214
[221  27  37  29],0.665261485826002,0.6872231450719823,0.7961783439490446,0.78539070049587,0.665261485826002,0.7961783439490446,0.7961783439490446,0.7898390453742724,0.6744638113134193,0.8565891472868217,0.8911290322580645,0.5178571428571429,0.4393939393939394,0.8311339198435973,0.4995998816028842,testPredProba_S,83,KNeighborsDist,0.8172542735042736
[222  26  12  54],0.8566715542521994,0.8118589743589744,0.8789808917197452,0.8911848766944308,0.8566715542521994,0.8789808917197452,0.8789808917197452,0.8830256388162488,0.8304439265617006,0.9487179487179487,0.8951612903225806,0.675,0.8181818181818182,0.9293743890518085,0.7890909831910656,testPredProba_S,83,LightGBMXT,0.931116452991453
[217  31  15  51],0.8238636363636364,0.778648023549201,0.8535031847133758,0.8694722857617331,0.8238636363636364,0.8535031847133758,0.8535031847133758,0.8589803178975153,0.7966779279279279,0.9353448275862069,0.875,0.6219512195121951,0.7727272727272727,0.9342008797653959,0.7738364157058581,testPredProba_S,83,LightGBM,0.936565170940171
[236  12  26  40],0.7788367546432062,0.8349970640046975,0.8789808917197452,0.8731163813577388,0.7788367546432062,0.8789808917197452,0.8789808917197452,0.8734628386602401,0.8017281488866733,0.9007633587786259,0.9516129032258065,0.7692307692307693,0.6060606060606061,0.9259530791788857,0.7872412253394656,testPredProba_S,83,RandomForestGini,0.9239049145299145
[235  13  24  42],0.7919721407624634,0.8354861354861355,0.8821656050955414,0.8771315446474683,0.7919721407624634,0.8821656050955414,0.8821656050955414,0.8780877786267302,0.8106182861427617,0.9073359073359073,0.9475806451612904,0.7636363636363637,0.6363636363636364,0.9254337732160313,0.7843816545882014,testPredProba_S,83,RandomForestEntr,0.9209935897435898
[222  26  15  51],0.8339442815249267,0.799523261548578,0.8694267515923567,0.8790384814733762,0.8339442815249267,0.8694267515923567,0.8694267515923567,0.8729680720487734,0.8143753154062432,0.9367088607594937,0.8951612903225806,0.6623376623376623,0.7727272727272727,0.9309628543499511,0.8281076165575332,testPredProba_S,83,CatBoost,0.9313301282051283
[238  10  31  35],0.7449902248289345,0.8312680710450226,0.8694267515923567,0.8622719989897314,0.7449902248289345,0.8694267515923567,0.8694267515923567,0.8597271025784374,0.7756634777911373,0.8847583643122676,0.9596774193548387,0.7777777777777778,0.5303030303030303,0.8957416911045943,0.7379405412711093,testPredProba_S,83,ExtraTreesGini,0.8996794871794871
[238  10  32  34],0.7374144672531769,0.8271043771043771,0.8662420382165605,0.8586223165841002,0.7374144672531769,0.8662420382165605,0.8662420382165605,0.8557066620760888,0.7685503685503685,0.8814814814814815,0.9596774193548387,0.7727272727272727,0.5151515151515151,0.8941837732160313,0.725943273316145,testPredProba_S,83,ExtraTreesEntr,0.8961004273504273
[228  20  23  43],0.7854349951124144,0.7954531082021121,0.8630573248407644,0.8608997434586797,0.7854349951124144,0.8630573248407644,0.8630573248407644,0.8618766194810003,0.7902471609886439,0.9083665338645418,0.9193548387096774,0.6825396825396826,0.6515151515151515,0.8936339198435973,0.6786365613776885,testPredProba_S,83,NeuralNetFastAI,0.8961538461538462
[219  29  13  53],0.8430474095796676,0.7951534903280068,0.8662420382165605,0.881407595099452,0.8430474095796676,0.8662420382165605,0.8662420382165605,0.8712428989499054,0.8143581081081082,0.9439655172413793,0.8830645161290323,0.6463414634146342,0.803030303030303,0.930229716520039,0.7811895717213075,testPredProba_S,83,XGBoost,0.9321314102564104
[227  21  24  42],0.7758431085043989,0.7855245683930943,0.856687898089172,0.8544167279924886,0.7758431085043989,0.856687898089172,0.856687898089172,0.8554522762010467,0.7804912149881158,0.9043824701195219,0.9153225806451613,0.6666666666666666,0.6363636363636364,0.8758553274682307,0.6643428423546182,testPredProba_S,83,NeuralNetTorch,0.9081196581196581
[234  14  19  47],0.8278347996089932,0.8476964945247197,0.8949044585987261,0.8924457104698715,0.8278347996089932,0.8949044585987261,0.8949044585987261,0.8933600775779301,0.8371446084209534,0.924901185770751,0.9435483870967742,0.7704918032786885,0.7121212121212122,0.9089076246334311,0.7880493769757148,testPredProba_S,83,LightGBMLarge,0.9264423076923076
