ConfusionMatrix,Balanced_accuracy,Precision_macro,Precision_micro,Precision_weighted,Recall_macro,Recall_micro,Recall_weighted,F1_weighted,F1_macro,Precision_0,Recall_0,Precision_1,Recall_1,Roc_auc,PR_auc,Tipo,Seed,ModelName,Roc_auc_byFold
[218  30  21  45],0.780425219941349,0.7560669456066946,0.8375796178343949,0.8465261306398743,0.780425219941349,0.8375796178343949,0.8375796178343949,0.8412624426997866,0.7667875398663113,0.9121338912133892,0.8790322580645161,0.6,0.6818181818181818,0.8789711632453568,0.6526397894139246,testPredProba_S,100,KNeighborsUnif,0.8821309523809525
[220  28  21  45],0.7844574780058651,0.7646507133519014,0.8439490445859873,0.8505572388554943,0.7844574780058651,0.8439490445859873,0.8439490445859873,0.846761456061207,0.773638757705492,0.9128630705394191,0.8870967741935484,0.6164383561643836,0.6818181818181818,0.8840420332355816,0.6592117256499698,testPredProba_S,100,KNeighborsDist,0.8861666666666667
[215  33  11  55],0.8501344086021505,0.7881637168141593,0.8598726114649682,0.8827363170058057,0.8501344086021505,0.8598726114649682,0.8598726114649682,0.8666298092243429,0.8107293550331525,0.9513274336283186,0.8669354838709677,0.625,0.8333333333333334,0.9258308895405669,0.7751344571791076,testPredProba_S,100,LightGBMXT,0.935142857142857
[223  25  15  51],0.8359604105571847,0.8040137107474569,0.8726114649681529,0.8810803235139179,0.8359604105571847,0.8726114649681529,0.8726114649681529,0.8757863951289189,0.8180026662029792,0.9369747899159664,0.8991935483870968,0.6710526315789473,0.7727272727272727,0.9195381231671554,0.7712299214073977,testPredProba_S,100,LightGBM,0.928595238095238
[239   9  25  41],0.792460899315738,0.8626515151515151,0.89171974522293,0.8873730939972978,0.792460899315738,0.89171974522293,0.89171974522293,0.8859440204260927,0.820245150862069,0.9053030303030303,0.9637096774193549,0.82,0.6212121212121212,0.9288245356793744,0.7933067929709056,testPredProba_S,100,RandomForestGini,0.9334880952380953
[238  10  27  39],0.7752932551319649,0.8470157874470543,0.8821656050955414,0.8766327634286499,0.7752932551319649,0.8821656050955414,0.8821656050955414,0.8754085280896631,0.8030680566149673,0.8981132075471698,0.9596774193548387,0.7959183673469388,0.5909090909090909,0.9314210654936461,0.7937917387833872,testPredProba_S,100,RandomForestEntr,0.9330952380952381
[222  26  14  52],0.8415200391006843,0.8036723163841808,0.8726114649681529,0.8830832343733132,0.8415200391006843,0.8726114649681529,0.8726114649681529,0.8763401238792091,0.8197887970615243,0.940677966101695,0.8951612903225806,0.6666666666666666,0.7878787878787878,0.9335288367546433,0.7852915850317186,testPredProba_S,100,CatBoost,0.9380714285714286
[238  10  31  35],0.7449902248289345,0.8312680710450226,0.8694267515923567,0.8622719989897314,0.7449902248289345,0.8694267515923567,0.8694267515923567,0.8597271025784374,0.7756634777911373,0.8847583643122676,0.9596774193548387,0.7777777777777778,0.5303030303030303,0.9030425219941349,0.7574623870584104,testPredProba_S,100,ExtraTreesGini,0.9116666666666667
[237  11  33  33],0.7278225806451613,0.8138888888888889,0.8598726114649682,0.8509200283085633,0.7278225806451613,0.8598726114649682,0.8598726114649682,0.8488355507463788,0.7575289575289574,0.8777777777777778,0.9556451612903226,0.75,0.5,0.9017289833822091,0.7536935537207254,testPredProba_S,100,ExtraTreesEntr,0.91175
[231  17  23  43],0.7914833822091887,0.8130577427821523,0.8726114649681529,0.8689277295752044,0.7914833822091887,0.8726114649681529,0.8726114649681529,0.870339690676179,0.801429203819642,0.9094488188976378,0.9314516129032258,0.7166666666666667,0.6515151515151515,0.9101295210166178,0.7658476015398089,testPredProba_S,100,NeuralNetFastAI,0.9076190476190475
