,feature,importance,stddev,p_value,n,p99_high,p99_low,seed,fold,model
22,FR-pd-Pd,0.03338461538461535,0.06698861326426642,0.019050994176917142,20,0.07623886754829931,-0.009469636779068605,27431,1,KNeighborsDist
23,FR-p2-Pd,0.019384615384615334,0.019941677653347558,0.00017349653913205858,20,0.03214179367329201,0.006627437095938663,27431,1,KNeighborsDist
24,Tv-11-Pd,0.015615384615384508,0.009513549811810525,2.934909465562533e-07,20,0.02170143480720976,0.009529334423559258,27431,1,KNeighborsDist
25,Tv-10-Pd,0.013999999999999884,0.00953480405259568,1.3770517750765457e-06,20,0.020099647048809795,0.007900352951189975,27431,1,KNeighborsDist
26,dm-edad,0.013038461538461433,0.01857836684777793,0.0027043885854436266,20,0.024923496604694048,0.0011534264722288176,27431,1,KNeighborsDist
27,Tv-08-Pd,0.012346153846153734,0.006236664377690214,1.8025590598235317e-08,20,0.016335900384829575,0.008356407307477894,27431,1,KNeighborsDist
28,Tv-01-Pd,0.011384615384615266,0.008085497665621985,2.4040066872628686e-06,20,0.016557105737035713,0.006212125032194818,27431,1,KNeighborsDist
29,Tv-09-Pd,0.008538461538461444,0.010013693520668592,0.0005868064799766098,20,0.014944465877313604,0.0021324571996092848,27431,1,KNeighborsDist
30,CC-pt-Pd,0.0023846153846152794,0.010906870568568304,0.17023911443981982,20,0.009362006897680325,-0.004592776128449767,27431,1,KNeighborsDist
31,cl-RC_e,0.0,0.0,0.5,20,0.0,0.0,27431,1,KNeighborsDist
32,dm-genero,0.0,0.0,0.5,20,0.0,0.0,27431,1,KNeighborsDist
33,FR-p1-Pd,-0.0006538461538462715,0.007051331124844583,0.658491818738967,20,0.0038570626019693065,-0.005164754909661849,27431,1,KNeighborsDist
34,Tv-02-Pd,-0.0022692307692308623,0.005769770555044938,0.9526529176996235,20,0.0014218323867874667,-0.005960293925249192,27431,1,KNeighborsDist
35,CC-p1-Pd,-0.002923076923077034,0.001489086217764582,0.9999999794699606,20,-0.001970472097271664,-0.0038756817488824038,27431,1,KNeighborsDist
