ConfusionMatrix,Balanced_accuracy,Precision_macro,Precision_micro,Precision_weighted,Recall_macro,Recall_micro,Recall_weighted,F1_weighted,F1_macro,Precision_0,Recall_0,Precision_1,Recall_1,Roc_auc,PR_auc,Tipo,Seed,ModelName,Roc_auc_byFold
[212  36  22  44],0.760752688172043,0.7279914529914531,0.8152866242038217,0.8311584735151615,0.760752688172043,0.8152866242038217,0.8152866242038217,0.821460185561643,0.7412038879099642,0.905982905982906,0.8548387096774194,0.55,0.6666666666666666,0.8707539100684263,0.6382690685136273,testPredProba_S,100,KNeighborsUnif,0.874278846153846
[213  35  22  44],0.762768817204301,0.73167250201993,0.8184713375796179,0.8329378101728991,0.762768817204301,0.8184713375796179,0.8184713375796179,0.824165897033285,0.7444420646819447,0.9063829787234042,0.8588709677419355,0.5569620253164557,0.6666666666666666,0.8797043010752689,0.6426928259192088,testPredProba_S,100,KNeighborsDist,0.8805021367521366
[210  38  14  52],0.8173264907135875,0.7576388888888889,0.8343949044585988,0.8618895966029724,0.8173264907135875,0.8343949044585988,0.8343949044585988,0.8429234589225952,0.7782485875706214,0.9375,0.8467741935483871,0.5777777777777777,0.7878787878787878,0.929496578690127,0.8175708751567013,testPredProba_S,100,LightGBMXT,0.9339209401709401
[217  31  16  50],0.8162878787878788,0.7743072113601441,0.8503184713375797,0.8653206937015471,0.8162878787878788,0.8503184713375797,0.8503184713375797,0.8556213724548575,0.7912795055652199,0.9313304721030042,0.875,0.6172839506172839,0.7575757575757576,0.9208822091886608,0.7732526553909765,testPredProba_S,100,LightGBM,0.9404113247863248
[238  10  24  42],0.7980205278592376,0.8580446271285966,0.89171974522293,0.8872297294770187,0.7980205278592376,0.89171974522293,0.89171974522293,0.8867825398538991,0.8225988700564972,0.9083969465648855,0.9596774193548387,0.8076923076923077,0.6363636363636364,0.9240285923753665,0.8008026096935701,testPredProba_S,100,RandomForestGini,0.9359374999999999
[239   9  25  41],0.792460899315738,0.8626515151515151,0.89171974522293,0.8873730939972978,0.792460899315738,0.89171974522293,0.89171974522293,0.8859440204260927,0.820245150862069,0.9053030303030303,0.9637096774193549,0.82,0.6212121212121212,0.9262585532746823,0.8068744671617295,testPredProba_S,100,RandomForestEntr,0.935844017094017
[224  24  14  52],0.8455522971652003,0.8126934984520124,0.8789808917197452,0.8871645205182308,0.8455522971652003,0.8789808917197452,0.8789808917197452,0.8819970753724728,0.8271025328928303,0.9411764705882353,0.9032258064516129,0.6842105263157895,0.7878787878787878,0.9316959921798631,0.8150429005495146,testPredProba_S,100,CatBoost,0.9460737179487179
[240   8  29  37],0.7641739980449658,0.857207765386204,0.8821656050955414,0.8774860101500407,0.7641739980449658,0.8821656050955414,0.8821656050955414,0.8734122633024923,0.7975499677627337,0.8921933085501859,0.967741935483871,0.8222222222222222,0.5606060606060606,0.902767595307918,0.7543582702992208,testPredProba_S,100,ExtraTreesGini,0.9088675213675212
[239   9  32  34],0.7394305962854351,0.8363082468033982,0.8694267515923567,0.8627449479945845,0.7394305962854351,0.8694267515923567,0.8694267515923567,0.8585439164605394,0.772427568895724,0.8819188191881919,0.9637096774193549,0.7906976744186046,0.5151515151515151,0.8985826001955035,0.752317197724383,testPredProba_S,100,ExtraTreesEntr,0.9100827991452991
[226  22  22  44],0.7889784946236559,0.7889784946236559,0.8598726114649682,0.8598726114649682,0.7889784946236559,0.8598726114649682,0.8598726114649682,0.8598726114649682,0.7889784946236559,0.9112903225806451,0.9112903225806451,0.6666666666666666,0.6666666666666666,0.8929007820136852,0.749516251157453,testPredProba_S,100,NeuralNetFastAI,0.9062767094017093
