ConfusionMatrix,Balanced_accuracy,Precision_macro,Precision_micro,Precision_weighted,Recall_macro,Recall_micro,Recall_weighted,F1_weighted,F1_macro,Precision_0,Recall_0,Precision_1,Recall_1,Roc_auc,PR_auc,Tipo,Seed,ModelName,Roc_auc_byFold
[222  26  33  33],0.6975806451612903,0.7149551345962113,0.8121019108280255,0.8051628553828959,0.6975806451612903,0.8121019108280255,0.8121019108280255,0.8081482063035799,0.705351888667992,0.8705882352941177,0.8951612903225806,0.559322033898305,0.5,0.8123472629521017,0.5401238186706719,testPredProba_S,42,KNeighborsUnif,0.8124252074456155
[222  26  33  33],0.6975806451612903,0.7149551345962113,0.8121019108280255,0.8051628553828959,0.6975806451612903,0.8121019108280255,0.8121019108280255,0.8081482063035799,0.705351888667992,0.8705882352941177,0.8951612903225806,0.559322033898305,0.5,0.8287206744868035,0.5360734960013571,testPredProba_S,42,KNeighborsDist,0.8330746804216194
[215  33  14  52],0.8274071358748778,0.7753146673516569,0.8503184713375797,0.8701111418338647,0.8274071358748778,0.8503184713375797,0.8503184713375797,0.8567544424910014,0.7951046135476973,0.9388646288209607,0.8669354838709677,0.611764705882353,0.7878787878787878,0.9356060606060607,0.7628004345460917,testPredProba_S,42,LightGBMXT,0.9329822830230995
[220  28  12  54],0.8526392961876833,0.8034062237174096,0.8726114649681529,0.8873752497683115,0.8526392961876833,0.8726114649681529,0.8726114649681529,0.8773741894761001,0.8231981981981982,0.9482758620689655,0.8870967741935484,0.6585365853658537,0.8181818181818182,0.9363391984359727,0.7909578589903407,testPredProba_S,42,LightGBM,0.9326710024669207
[238  10  28  38],0.7677174975562073,0.8432017543859649,0.8789808917197452,0.873072410325176,0.7677174975562073,0.8789808917197452,0.8789808917197452,0.871545763215941,0.7963683527885863,0.8947368421052632,0.9596774193548387,0.7916666666666666,0.5757575757575758,0.9298020527859238,0.7602507037215862,testPredProba_S,42,RandomForestGini,0.9288360618972863
[237  11  25  41],0.7884286412512219,0.8465208455666471,0.8853503184713376,0.8801730554173788,0.7884286412512219,0.8853503184713376,0.8853503184713376,0.8801226892570696,0.8121635094715853,0.9045801526717557,0.9556451612903226,0.7884615384615384,0.6212121212121212,0.9377749266862171,0.7803583549543938,testPredProba_S,42,RandomForestEntr,0.9399129849742096
[223  25  13  53],0.8511119257086999,0.8122012168622339,0.8789808917197452,0.8891246397993673,0.8511119257086999,0.8789808917197452,0.8789808917197452,0.8825231176852486,0.8287993572084482,0.9449152542372882,0.8991935483870968,0.6794871794871795,0.803030303030303,0.9365224828934506,0.7953977812134657,testPredProba_S,42,CatBoost,0.9394725274725275
[238  10  34  32],0.7222629521016618,0.8184523809523809,0.8598726114649682,0.8512283894449499,0.7222629521016618,0.8598726114649682,0.8598726114649682,0.8475366105939354,0.7539886039886039,0.875,0.9596774193548387,0.7619047619047619,0.48484848484848486,0.9015151515151516,0.7001015739966936,testPredProba_S,42,ExtraTreesGini,0.9002130522538685
[239   9  33  33],0.7318548387096775,0.8321953781512605,0.8662420382165605,0.8591366482898892,0.7318548387096775,0.8662420382165605,0.8662420382165605,0.8544667646578474,0.7651709401709401,0.8786764705882353,0.9637096774193549,0.7857142857142857,0.5,0.9083577712609971,0.717687461583341,testPredProba_S,42,ExtraTreesEntr,0.9065404799282349
[228  20  21  45],0.8005865102639296,0.803985171455051,0.8694267515923567,0.868715430069125,0.8005865102639296,0.8694267515923567,0.8694267515923567,0.8690597418321374,0.8022639654722227,0.9156626506024096,0.9193548387096774,0.6923076923076923,0.6818181818181818,0.8849584555229717,0.6542625745461121,testPredProba_S,42,NeuralNetFastAI,0.9121614711818793
