ConfusionMatrix,Balanced_accuracy,Precision_macro,Precision_micro,Precision_weighted,Recall_macro,Recall_micro,Recall_weighted,F1_weighted,F1_macro,Precision_0,Recall_0,Precision_1,Recall_1,Roc_auc,PR_auc,Tipo,Seed,ModelName,Roc_auc_byFold
[217  31  37  29],0.6571969696969697,0.6688320209973754,0.7834394904458599,0.7763503686243042,0.6571969696969697,0.7834394904458599,0.7834394904458599,0.7795774741495045,0.6624296464933915,0.8543307086614174,0.875,0.48333333333333334,0.4393939393939394,0.8164406158357772,0.4944194479816308,testPredProba_S,27431,KNeighborsUnif,0.8227029914529915
[217  31  37  29],0.6571969696969697,0.6688320209973754,0.7834394904458599,0.7763503686243042,0.6571969696969697,0.7834394904458599,0.7834394904458599,0.7795774741495045,0.6624296464933915,0.8543307086614174,0.875,0.48333333333333334,0.4393939393939394,0.8272543988269796,0.5255517746165651,testPredProba_S,27431,KNeighborsDist,0.8364049145299145
[220  28  14  52],0.837487781036168,0.7950854700854701,0.8662420382165605,0.879179596058577,0.837487781036168,0.8662420382165605,0.8662420382165605,0.8707125481653278,0.8125959188313534,0.9401709401709402,0.8870967741935484,0.65,0.7878787878787878,0.9321236559139785,0.8036065997166628,testPredProba_S,27431,LightGBMXT,0.9331730769230768
[218  30  16  50],0.8183040078201369,0.7783119658119658,0.8535031847133758,0.867174315422723,0.8183040078201369,0.8535031847133758,0.8535031847133758,0.8583994575144067,0.7947479111010061,0.9316239316239316,0.8790322580645161,0.625,0.7575757575757576,0.9321847507331379,0.79817058836568,testPredProba_S,27431,LightGBM,0.9401709401709402
[236  12  26  40],0.7788367546432062,0.8349970640046975,0.8789808917197452,0.8731163813577388,0.7788367546432062,0.8789808917197452,0.8789808917197452,0.8734628386602401,0.8017281488866733,0.9007633587786259,0.9516129032258065,0.7692307692307693,0.6060606060606061,0.9213404203323559,0.7690647003456913,testPredProba_S,27431,RandomForestGini,0.9310363247863247
[236  12  26  40],0.7788367546432062,0.8349970640046975,0.8789808917197452,0.8731163813577388,0.7788367546432062,0.8789808917197452,0.8789808917197452,0.8734628386602401,0.8017281488866733,0.9007633587786259,0.9516129032258065,0.7692307692307693,0.6060606060606061,0.9259530791788857,0.7800950669314405,testPredProba_S,27431,RandomForestEntr,0.9337072649572649
[224  24  11  55],0.8682795698924731,0.824697010503636,0.8885350318471338,0.8991747020710501,0.8682795698924731,0.8885350318471338,0.8885350318471338,0.8920316911607891,0.8430784607696151,0.9531914893617022,0.9032258064516129,0.6962025316455697,0.8333333333333334,0.9424486803519061,0.827803950008814,testPredProba_S,27431,CatBoost,0.9511752136752136
[239   9  35  31],0.7167033235581624,0.8236313868613139,0.8598726114649682,0.8518190059974893,0.7167033235581624,0.8598726114649682,0.8598726114649682,0.8461769395717156,0.7503072363189474,0.8722627737226277,0.9637096774193549,0.775,0.4696969696969697,0.8790628054740958,0.7161599177057363,testPredProba_S,27431,ExtraTreesGini,0.8916399572649574
[238  10  33  33],0.7298387096774194,0.8228353213764696,0.8630573248407644,0.854942359229547,0.7298387096774194,0.8630573248407644,0.8630573248407644,0.8516436197025169,0.7613264746955154,0.8782287822878229,0.9596774193548387,0.7674418604651163,0.5,0.8833394428152495,0.7213149207290357,testPredProba_S,27431,ExtraTreesEntr,0.8930422008547009
[229  19  28  38],0.7495723362658846,0.7788586251621271,0.8503184713375797,0.8438870851817888,0.7495723362658846,0.8503184713375797,0.8503184713375797,0.8461761136498923,0.7624084359655479,0.8910505836575876,0.9233870967741935,0.6666666666666666,0.5757575757575758,0.8938172043010753,0.6774081072021723,testPredProba_S,27431,NeuralNetFastAI,0.9127136752136753
[224  24  13  53],0.8531280547409579,0.8167296838182914,0.8821656050955414,0.8911630442711632,0.8531280547409579,0.8821656050955414,0.8821656050955414,0.8853614308732833,0.8324850407324634,0.9451476793248945,0.9032258064516129,0.6883116883116883,0.803030303030303,0.9411045943304008,0.8091510993117349,testPredProba_S,27431,XGBoost,0.9449252136752136
[237  11  30  36],0.750549853372434,0.8267989481233564,0.8694267515923567,0.8620637673568021,0.750549853372434,0.8694267515923567,0.8694267515923567,0.8608579873399502,0.7787782455537418,0.8876404494382022,0.9556451612903226,0.7659574468085106,0.5454545454545454,0.8816593352883675,0.6726147021095512,testPredProba_S,27431,NeuralNetTorch,0.9178952991452991
[229  19  12  54],0.8707844574780059,0.8449667481384642,0.9012738853503185,0.9059661467846396,0.8707844574780059,0.9012738853503185,0.9012738853503185,0.9030531660795391,0.8567918671198012,0.950207468879668,0.9233870967741935,0.7397260273972602,0.8181818181818182,0.9316959921798631,0.8374387856646447,testPredProba_S,27431,LightGBMLarge,0.9487713675213675
[224  24  12  54],0.8607038123167156,0.8207301173402868,0.8853503184713376,0.8951660452254212,0.8607038123167156,0.8853503184713376,0.8853503184713376,0.8887061114912881,0.8378099173553719,0.9491525423728814,0.9032258064516129,0.6923076923076923,0.8181818181818182,0.9417155425219941,0.8198539601299532,testPredProba_S,27431,CatBoost_r177,0.9453792735042734
[212  36  20  46],0.7759042033235581,0.7373843566021867,0.821656050955414,0.8396340124174358,0.7759042033235581,0.821656050955414,0.821656050955414,0.8283238652665404,0.7524774774774774,0.9137931034482759,0.8548387096774194,0.5609756097560976,0.696969696969697,0.8320503421309873,0.5374047203207489,testPredProba_S,27431,NeuralNetTorch_r79,0.884508547008547
[222  26  15  51],0.8339442815249267,0.799523261548578,0.8694267515923567,0.8790384814733762,0.8339442815249267,0.8694267515923567,0.8694267515923567,0.8729680720487734,0.8143753154062432,0.9367088607594937,0.8951612903225806,0.6623376623376623,0.7727272727272727,0.9244257086999023,0.8054652100244094,testPredProba_S,27431,LightGBM_r131,0.9492254273504273
[221  27  25  41],0.7561705767350928,0.7506575801052128,0.8343949044585988,0.8362766420845175,0.7561705767350928,0.8343949044585988,0.8343949044585988,0.8352955303936235,0.7533385703063629,0.8983739837398373,0.8911290322580645,0.6029411764705882,0.6212121212121212,0.8717008797653959,0.647105860319943,testPredProba_S,27431,NeuralNetFastAI_r191,0.8862179487179487
[225  23  14  52],0.8475684261974584,0.8173779637377964,0.8821656050955414,0.8892764437811475,0.8475684261974584,0.8821656050955414,0.8821656050955414,0.884837458429257,0.8308066465696768,0.9414225941422594,0.907258064516129,0.6933333333333334,0.7878787878787878,0.9315127077223853,0.8192810648913605,testPredProba_S,27431,CatBoost_r9,0.9369925213675213
[211  37  18  48],0.7890395894428153,0.7430516311328025,0.8248407643312102,0.8464240078141233,0.7890395894428153,0.8248407643312102,0.8248407643312102,0.8323722199362783,0.760228803087731,0.9213973799126638,0.8508064516129032,0.5647058823529412,0.7272727272727273,0.8958944281524927,0.7112004986625707,testPredProba_S,27431,LightGBM_r96,0.9046474358974359
[218  30  23  43],0.7652737047898338,0.746802705621554,0.8312101910828026,0.8382441482045734,0.7652737047898338,0.8312101910828026,0.8312101910828026,0.8342521871682443,0.7551602889467568,0.9045643153526971,0.8790322580645161,0.589041095890411,0.6515151515151515,0.8682795698924731,0.60960406936469,testPredProba_S,27431,NeuralNetTorch_r22,0.9064369658119658
[229  19  13  53],0.8632086999022482,0.8411960514233241,0.8980891719745223,0.9021051569546068,0.8632086999022482,0.8980891719745223,0.8980891719745223,0.8996806809126309,0.8514049097900029,0.9462809917355371,0.9233870967741935,0.7361111111111112,0.803030303030303,0.9382942326490713,0.8117773920515189,testPredProba_S,27431,XGBoost_r33,0.9493322649572649
[240   8  31  35],0.7490224828934506,0.849781172230327,0.8757961783439491,0.8705475367596218,0.7490224828934506,0.8757961783439491,0.8757961783439491,0.8654442132185618,0.7835286630959326,0.8856088560885609,0.967741935483871,0.813953488372093,0.5303030303030303,0.9042644183773216,0.7599140283195832,testPredProba_S,27431,ExtraTrees_r42,0.8999999999999998
[221  27  12  54],0.8546554252199414,0.8075822603719599,0.8757961783439491,0.8892594516278943,0.8546554252199414,0.8757961783439491,0.8757961783439491,0.8801964579944561,0.8268063982349697,0.9484978540772532,0.8911290322580645,0.6666666666666666,0.8181818181818182,0.9411045943304008,0.8234905349829943,testPredProba_S,27431,CatBoost_r137,0.9449252136752136
[226  22  18  48],0.8192815249266863,0.8059718969555035,0.8726114649681529,0.8756753531526426,0.8192815249266863,0.8726114649681529,0.8726114649681529,0.8739669862041446,0.8122907699665232,0.9262295081967213,0.9112903225806451,0.6857142857142857,0.7272727272727273,0.9043255131964809,0.6860849430742081,testPredProba_S,27431,NeuralNetFastAI_r102,0.917895299145299
[223  25  11  55],0.866263440860215,0.8202457264957265,0.8853503184713376,0.8971875170123579,0.866263440860215,0.8853503184713376,0.8853503184713376,0.8891821841417096,0.8393679304268744,0.9529914529914529,0.8991935483870968,0.6875,0.8333333333333334,0.9366446725317693,0.8333419865404009,testPredProba_S,27431,CatBoost_r13,0.9496794871794869
