ConfusionMatrix,Balanced_accuracy,Precision_macro,Precision_micro,Precision_weighted,Recall_macro,Recall_micro,Recall_weighted,F1_weighted,F1_macro,Precision_0,Recall_0,Precision_1,Recall_1,Roc_auc,PR_auc,Tipo,Seed,ModelName,Roc_auc_byFold
[214  34  24  42],0.749633431085044,0.7258956214064574,0.8152866242038217,0.8263225504751013,0.749633431085044,0.8152866242038217,0.8152866242038217,0.8198902729369323,0.7361038659943198,0.8991596638655462,0.8629032258064516,0.5526315789473685,0.6363636363636364,0.8694098240469209,0.6674381824987161,testPredProba_S,0,KNeighborsUnif,0.8784588675213675
[215  33  25  41],0.7440738025415445,0.7249436936936937,0.8152866242038217,0.8239943765421472,0.7440738025415445,0.8152866242038217,0.8152866242038217,0.8190501051626666,0.7334309133489462,0.8958333333333334,0.8669354838709677,0.5540540540540541,0.6212121212121212,0.8778103616813295,0.6621795558048115,testPredProba_S,0,KNeighborsDist,0.8884481837606838
[216  32  16  50],0.8142717497556207,0.7703952901597981,0.8471337579617835,0.8635046310928736,0.8142717497556207,0.8471337579617835,0.8471337579617835,0.8528490273713205,0.7878378378378379,0.9310344827586207,0.8709677419354839,0.6097560975609756,0.7575757575757576,0.9271749755620723,0.7746638601529243,testPredProba_S,0,LightGBMXT,0.927323717948718
[216  32  15  51],0.8218475073313782,0.7747613831951181,0.8503184713375797,0.8676761807757126,0.8218475073313782,0.8503184713375797,0.8503184713375797,0.8562012064526556,0.7932213363971361,0.935064935064935,0.8709677419354839,0.6144578313253012,0.7727272727272727,0.9285190615835777,0.7823464769267591,testPredProba_S,0,LightGBM,0.9352564102564103
[238  10  25  41],0.79044477028348,0.8544322672034593,0.8885350318471338,0.883709168925859,0.79044477028348,0.8885350318471338,0.8885350318471338,0.8830258244794498,0.8161807750848846,0.9049429657794676,0.9596774193548387,0.803921568627451,0.6212121212121212,0.9331622678396873,0.8009997978883392,testPredProba_S,0,RandomForestGini,0.9233173076923077
[239   9  22  44],0.8151881720430108,0.8729487457529097,0.9012738853503185,0.8977332429006424,0.8151881720430108,0.9012738853503185,0.9012738853503185,0.8971420285106272,0.8392960327549488,0.9157088122605364,0.9637096774193549,0.8301886792452831,0.6666666666666666,0.9357282502443792,0.8136597338088398,testPredProba_S,0,RandomForestEntr,0.9337339743589744
[225  23  16  50],0.8324169110459433,0.8092707326777695,0.8757961783439491,0.8813399654827974,0.8324169110459433,0.8757961783439491,0.8757961783439491,0.8780346282936139,0.8198349296023304,0.9336099585062241,0.907258064516129,0.684931506849315,0.7575757575757576,0.9330400782013686,0.7903899724298049,testPredProba_S,0,CatBoost,0.9356036324786323
[242   6  31  35],0.7530547409579668,0.8700527115161261,0.8821656050955414,0.8795550676861846,0.7530547409579668,0.8821656050955414,0.8821656050955414,0.8712270255552867,0.7915941665022332,0.8864468864468864,0.9758064516129032,0.8536585365853658,0.5303030303030303,0.9065554740957966,0.769602395733511,testPredProba_S,0,ExtraTreesGini,0.9000667735042734
[242   6  31  35],0.7530547409579668,0.8700527115161261,0.8821656050955414,0.8795550676861846,0.7530547409579668,0.8821656050955414,0.8821656050955414,0.8712270255552867,0.7915941665022332,0.8864468864468864,0.9758064516129032,0.8536585365853658,0.5303030303030303,0.9075024437927663,0.7679069929985353,testPredProba_S,0,ExtraTreesEntr,0.9020299145299147
[228  20  24  42],0.7778592375366569,0.7910906298003072,0.8598726114649682,0.8569765280264562,0.7778592375366569,0.8598726114649682,0.8598726114649682,0.8582436305732486,0.784125,0.9047619047619048,0.9193548387096774,0.6774193548387096,0.6363636363636364,0.8893572825024437,0.7255152317156633,testPredProba_S,0,NeuralNetFastAI,0.8969818376068375
[227  21  15  51],0.844024926686217,0.8231749311294766,0.8853503184713376,0.8897391693425277,0.844024926686217,0.8853503184713376,0.8853503184713376,0.8871407660267099,0.8328305235137533,0.9380165289256198,0.9153225806451613,0.7083333333333334,0.7727272727272727,0.9214931573802541,0.7868587012534154,testPredProba_S,0,XGBoost,0.9262820512820514
