ConfusionMatrix,Balanced_accuracy,Precision_macro,Precision_micro,Precision_weighted,Recall_macro,Recall_micro,Recall_weighted,F1_weighted,F1_macro,Precision_0,Recall_0,Precision_1,Recall_1,Roc_auc,PR_auc,Tipo,Seed,ModelName,Roc_auc_byFold
[212  36  24  42],0.7456011730205279,0.7183833116036507,0.8089171974522293,0.8226691801127729,0.7456011730205279,0.8089171974522293,0.8089171974522293,0.8145101858188135,0.7296831955922864,0.8983050847457628,0.8548387096774194,0.5384615384615384,0.6363636363636364,0.8677908113391984,0.6237505112143213,testPredProba_S,23,KNeighborsUnif,0.8718809523809524
[215  33  25  41],0.7440738025415445,0.7249436936936937,0.8152866242038217,0.8239943765421472,0.7440738025415445,0.8152866242038217,0.8152866242038217,0.8190501051626666,0.7334309133489462,0.8958333333333334,0.8669354838709677,0.5540540540540541,0.6212121212121212,0.8725562072336266,0.6174837310351382,testPredProba_S,23,KNeighborsDist,0.8742023809523809
[219  29  13  53],0.8430474095796676,0.7951534903280068,0.8662420382165605,0.881407595099452,0.8430474095796676,0.8662420382165605,0.8662420382165605,0.8712428989499054,0.8143581081081082,0.9439655172413793,0.8830645161290323,0.6463414634146342,0.803030303030303,0.9263196480938416,0.7903461925167405,testPredProba_S,23,LightGBMXT,0.9420000000000002
[216  32  17  49],0.8066959921798631,0.7659884491071902,0.8439490445859873,0.8593360042199604,0.8066959921798631,0.8439490445859873,0.8439490445859873,0.8494776010699577,0.7823977823977823,0.927038626609442,0.8709677419354839,0.6049382716049383,0.7424242424242424,0.9192326490713587,0.7788992698757803,testPredProba_S,23,LightGBM,0.9418095238095237
[237  11  25  41],0.7884286412512219,0.8465208455666471,0.8853503184713376,0.8801730554173788,0.7884286412512219,0.8853503184713376,0.8853503184713376,0.8801226892570696,0.8121635094715853,0.9045801526717557,0.9556451612903226,0.7884615384615384,0.6212121212121212,0.9403714565004887,0.8044176799090059,testPredProba_S,23,RandomForestGini,0.9456904761904761
[236  12  25  41],0.7864125122189638,0.8388997325236753,0.8821656050955414,0.8767573710240582,0.7864125122189638,0.8821656050955414,0.8821656050955414,0.8772340340288131,0.8081920390946162,0.9042145593869731,0.9516129032258065,0.7735849056603774,0.6212121212121212,0.9408296676441837,0.8035554073896322,testPredProba_S,23,RandomForestEntr,0.9479047619047618
[223  25  13  53],0.8511119257086999,0.8122012168622339,0.8789808917197452,0.8891246397993673,0.8511119257086999,0.8789808917197452,0.8789808917197452,0.8825231176852486,0.8287993572084482,0.9449152542372882,0.8991935483870968,0.6794871794871795,0.803030303030303,0.9382942326490714,0.8036190553735179,testPredProba_S,23,CatBoost,0.9474761904761904
[242   6  32  34],0.7454789833822092,0.8666058394160584,0.8789808917197452,0.8762308800967038,0.7454789833822092,0.8789808917197452,0.8789808917197452,0.8671528114482998,0.784356249548182,0.8832116788321168,0.9758064516129032,0.85,0.5151515151515151,0.9121151026392962,0.7685345452521011,testPredProba_S,23,ExtraTreesGini,0.9169642857142856
[241   7  31  35],0.7510386119257086,0.8596813725490196,0.8789808917197452,0.8749531659797678,0.7510386119257086,0.8789808917197452,0.8789808917197452,0.8683270727856716,0.7875356125356126,0.8860294117647058,0.9717741935483871,0.8333333333333334,0.5303030303030303,0.9121456500488758,0.7696837649384928,testPredProba_S,23,ExtraTreesEntr,0.9182023809523809
[220  28  23  43],0.7693059628543499,0.7554917985277922,0.8375796178343949,0.8423521654684996,0.7693059628543499,0.8375796178343949,0.8375796178343949,0.8397165057321243,0.7619337862547757,0.9053497942386831,0.8870967741935484,0.6056338028169014,0.6515151515151515,0.8842253176930596,0.7101012249912906,testPredProba_S,23,NeuralNetFastAI,0.906595238095238
[222  26  15  51],0.8339442815249267,0.799523261548578,0.8694267515923567,0.8790384814733762,0.8339442815249267,0.8694267515923567,0.8694267515923567,0.8729680720487734,0.8143753154062432,0.9367088607594937,0.8951612903225806,0.6623376623376623,0.7727272727272727,0.9287634408602151,0.7842644470610591,testPredProba_S,23,XGBoost,0.9446666666666668
[225  23  25  41],0.764235092864125,0.7703125,0.8471337579617835,0.8454816878980893,0.764235092864125,0.8471337579617835,0.8471337579617835,0.8462648241176367,0.7671918443002781,0.9,0.907258064516129,0.640625,0.6212121212121212,0.8956500488758553,0.6000229564654634,testPredProba_S,23,NeuralNetTorch,0.9153809523809524
[233  15  18  48],0.8333944281524928,0.8450958072472017,0.8949044585987261,0.8933148207896349,0.8333944281524928,0.8949044585987261,0.8949044585987261,0.8939983358807678,0.8390268909912849,0.9282868525896414,0.9395161290322581,0.7619047619047619,0.7272727272727273,0.9200268817204301,0.8055136957767913,testPredProba_S,23,LightGBMLarge,0.9462380952380954
[221  27  14  52],0.8395039100684262,0.7993266900080798,0.8694267515923567,0.8811100951897362,0.8395039100684262,0.8694267515923567,0.8694267515923567,0.8735228382169242,0.8161776254729778,0.9404255319148936,0.8911290322580645,0.6582278481012658,0.7878787878787878,0.9346285434995112,0.7755941634909614,testPredProba_S,23,CatBoost_r177,0.9496666666666667
[218  30  22  44],0.7728494623655914,0.751463963963964,0.8343949044585988,0.8423882481207321,0.7728494623655914,0.8343949044585988,0.8343949044585988,0.8377690598010115,0.7610070257611241,0.9083333333333333,0.8790322580645161,0.5945945945945946,0.6666666666666666,0.8792766373411535,0.7271448653063278,testPredProba_S,23,NeuralNetTorch_r79,0.9022380952380953
[223  25  17  49],0.8208088954056696,0.7956644144144145,0.8662420382165605,0.8730447007517071,0.8208088954056696,0.8662420382165605,0.8662420382165605,0.868967317531586,0.8069672131147541,0.9291666666666667,0.8991935483870968,0.6621621621621622,0.7424242424242424,0.9103128054740958,0.7638852995713318,testPredProba_S,23,LightGBM_r131,0.9392857142857143
