ConfusionMatrix,Balanced_accuracy,Precision_macro,Precision_micro,Precision_weighted,Recall_macro,Recall_micro,Recall_weighted,F1_weighted,F1_macro,Precision_0,Recall_0,Precision_1,Recall_1,Roc_auc,PR_auc,Tipo,Seed,ModelName,Roc_auc_byFold
[216  32  23  43],0.7612414467253177,0.7385495118549512,0.8248407643312102,0.8343117554566534,0.7612414467253177,0.8248407643312102,0.8248407643312102,0.8288124382056522,0.7484963665224926,0.9037656903765691,0.8709677419354839,0.5733333333333334,0.6515151515151515,0.8634225317693061,0.568628523009107,testPredProba_S,7,KNeighborsUnif,0.8666023772146222
[219  29  23  43],0.7672898338220919,0.7510904499540862,0.8343949044585988,0.8402752188942113,0.7672898338220919,0.8343949044585988,0.8343949044585988,0.8369811064830253,0.7585329784087548,0.9049586776859504,0.8830645161290323,0.5972222222222222,0.6515151515151515,0.8752138318670577,0.6064246746939076,testPredProba_S,7,KNeighborsDist,0.8769634447185467
[215  33  10  56],0.8577101661779081,0.7923845193508114,0.8630573248407644,0.8869613619917778,0.8577101661779081,0.8630573248407644,0.8630573248407644,0.8698881147617535,0.8158357771260997,0.9555555555555556,0.8669354838709677,0.6292134831460674,0.8484848484848485,0.9215542521994136,0.7566111237636423,testPredProba_S,7,LightGBMXT,0.9242422067728191
[215  33  13  53],0.8349828934506354,0.7796307629538963,0.8535031847133758,0.87431231760337,0.8349828934506354,0.8535031847133758,0.8535031847133758,0.860063468900802,0.8003648827952233,0.9429824561403509,0.8669354838709677,0.6162790697674418,0.803030303030303,0.9263196480938416,0.7642644057835029,testPredProba_S,7,LightGBM,0.9255447409733124
[235  13  25  41],0.7843963831867058,0.8315527065527066,0.8789808917197452,0.8734552779138767,0.7843963831867058,0.8789808917197452,0.8789808917197452,0.8743592958523497,0.804265091863517,0.9038461538461539,0.9475806451612904,0.7592592592592593,0.6212121212121212,0.9303519061583577,0.7890480926390054,testPredProba_S,7,RandomForestGini,0.9314061448755326
[234  14  22  44],0.8051075268817205,0.8363415948275862,0.8853503184713376,0.8813900175708325,0.8051075268817205,0.8853503184713376,0.8853503184713376,0.8825618597552027,0.8191244239631337,0.9140625,0.9435483870967742,0.7586206896551724,0.6666666666666666,0.9318181818181818,0.792450004831987,testPredProba_S,7,RandomForestEntr,0.9314559318232787
[223  25  14  52],0.8435361681329423,0.8081264726834347,0.8757961783439491,0.8851007628722698,0.8435361681329423,0.8757961783439491,0.8757961783439491,0.8791647514610282,0.8234301780693534,0.9409282700421941,0.8991935483870968,0.6753246753246753,0.7878787878787878,0.928580156402737,0.7955670641427772,testPredProba_S,7,CatBoost,0.9361228975106528
[235  13  31  35],0.7389418377321604,0.806312656641604,0.8598726114649682,0.8510278482831282,0.7389418377321604,0.8598726114649682,0.8598726114649682,0.8512635153026683,0.7642159874394157,0.8834586466165414,0.9475806451612904,0.7291666666666666,0.5303030303030303,0.907624633431085,0.7549165343050293,testPredProba_S,7,ExtraTreesGini,0.9090127831352323
[233  15  32  34],0.7273338220918866,0.786561417019638,0.8503184713375797,0.8402826387134592,0.7273338220918866,0.8503184713375797,0.8503184713375797,0.8417351573030857,0.749843207051445,0.879245283018868,0.9395161290322581,0.6938775510204082,0.5151515151515151,0.9008125610948192,0.7416736841180883,testPredProba_S,7,ExtraTreesEntr,0.9020152500560664
[225  23  28  38],0.7415078201368523,0.7561394414566189,0.8375796178343949,0.8333379419813857,0.7415078201368523,0.8375796178343949,0.8375796178343949,0.8351928471658918,0.7483143948323825,0.8893280632411067,0.907258064516129,0.6229508196721312,0.5757575757575758,0.8665078201368523,0.6802228716632036,testPredProba_S,7,NeuralNetFastAI,0.8646324287956941
[220  28  13  53],0.8450635386119256,0.799263498119006,0.8694267515923567,0.8832747621463074,0.8450635386119256,0.8694267515923567,0.8694267515923567,0.8740526866095566,0.8179246750675322,0.944206008583691,0.8870967741935484,0.654320987654321,0.803030303030303,0.9247922776148584,0.7695457590579888,testPredProba_S,7,XGBoost,0.9315747925543845
[231  17  31  35],0.730877321603128,0.7773781561949501,0.8471337579617835,0.8378330110595389,0.730877321603128,0.8471337579617835,0.8471337579617835,0.8401635856760927,0.7495513459621137,0.8816793893129771,0.9314516129032258,0.6730769230769231,0.5303030303030303,0.8890518084066471,0.6832749818764058,testPredProba_S,7,NeuralNetTorch,0.9081354563803543
[230  18  19  47],0.819770283479961,0.8233858510966945,0.8821656050955414,0.8815266947259888,0.819770283479961,0.8821656050955414,0.8821656050955414,0.8818344011655874,0.821555285913957,0.9236947791164659,0.9274193548387096,0.7230769230769231,0.7121212121212122,0.9264418377321604,0.7892996710371313,testPredProba_S,7,LightGBMLarge,0.9355371159452792
