Model,Nvariables,nFolds,Seed,Balanced_accuracy,Precision_macro,Precision_micro,Precision_weighted,Recall_macro,Recall_micro,Recall_weighted,F1_weighted,F1_macro,Roc_auc,PR_auc,Log_loss,ROC_AUC
NeuralNetFastAI_r145,8,5,0,0.8598726114649682,0.7875878220140515,0.8598726114649682,,0.8000977517106549,0.8598726114649682,0.8598726114649682,0.8613636848245589,0.7935198469631755,,0.7429076086112469,0.3961892914867382,0.9007820136852395
NeuralNetFastAI_r156,8,5,0,0.8471337579617835,0.774155592469546,0.8471337579617835,,0.741996578690127,0.8471337579617835,0.8471337579617835,0.8423792840307044,0.7558478584850645,,0.7101878030083904,0.34206408857165455,0.9046920821114369
NeuralNetFastAI_r160,8,5,0,0.8630573248407644,0.7925170068027211,0.8630573248407644,,0.802113880742913,0.8630573248407644,0.8630573248407644,0.8641622488368654,0.7971301930733979,,0.7755709907298901,0.34687566820077614,0.9250366568914956
NeuralNetFastAI_r172,8,5,0,0.8471337579617835,0.7756410256410255,0.8471337579617835,,0.7364369501466275,0.8471337579617835,0.8471337579617835,0.8412959526555996,0.7527559055118109,,0.6901054049648884,0.35880001029551567,0.8929007820136852
NeuralNetFastAI_r187,8,5,0,0.8439490445859873,0.7663124473530746,0.8439490445859873,,0.751099706744868,0.8439490445859873,0.8439490445859873,0.8416558727672295,0.758184418564446,,0.7098157379427494,0.35125435614125755,0.9000488758553274
NeuralNetFastAI_r191,8,5,0,0.8662420382165605,0.797584887613582,0.8662420382165605,,0.8041300097751711,0.8662420382165605,0.8662420382165605,0.8669694668563882,0.8007734606320623,,0.7216530430180008,0.39677278705763724,0.8873411534701857
NeuralNetFastAI_r194,8,5,0,0.856687898089172,0.7838237959997583,0.856687898089172,,0.7869623655913978,0.856687898089172,0.856687898089172,0.8570819056906887,0.7853725222146275,,0.7432239858388856,0.34196329425010974,0.9047531769305963
NeuralNetFastAI_r37,8,5,0,0.8662420382165605,0.79975,0.8662420382165605,,0.793010752688172,0.8662420382165605,0.8662420382165605,0.865481721102932,0.7962928637627433,,0.7010251633617707,0.31842803548024623,0.905241935483871
NeuralNetFastAI_r4,8,5,0,0.8535031847133758,0.7912878787878788,0.8535031847133758,,0.7349095796676441,0.8535031847133758,0.8535031847133758,0.8456889688117725,0.7568022629310345,,0.7159978515804645,0.37131769083272914,0.8965664711632454
NeuralNetFastAI_r65,8,5,0,0.8407643312101911,0.7615384615384615,0.8407643312101911,,0.7991202346041055,0.8407643312101911,0.8407643312101911,0.8460863668634855,0.7768999033706587,,0.7212869258301573,0.36324101747123405,0.9045698924731183
NeuralNetFastAI_r69,8,5,0,0.8662420382165605,0.802755905511811,0.8662420382165605,,0.781891495601173,0.8662420382165605,0.8662420382165605,0.8638566752099881,0.7915006640106241,,0.6924126277356984,0.38004020498353486,0.854594330400782
NeuralNetFastAI_r88,8,5,0,0.8535031847133758,0.7821522309711286,0.8535031847133758,,0.7627077223851417,0.8535031847133758,0.8535031847133758,0.8508906442776061,0.7716435843925884,,0.7035933546909235,0.34657452613093753,0.895039100684262
NeuralNetFastAI_r95,8,5,0,0.8503184713375797,0.7788586251621271,0.8503184713375797,,0.7495723362658846,0.8503184713375797,0.8503184713375797,0.8461761136498923,0.7624084359655479,,0.6774444837998376,0.49573709097981666,0.8488514173998045
NeuralNetTorch,8,5,0,0.8343949044585988,0.7543305930710511,0.8343949044585988,,0.7116935483870968,0.8343949044585988,0.8343949044585988,0.8268438844824337,0.7286806247922898,,0.6559769054931338,0.3205055906123015,0.8938172043010753
